@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"Link: L'Abruzzo, il terremoto, i morti veri e quelli “taroccati”. Dal Giornale... http://tumblr.com/xie1khcny","6","1","1","113","17","0","1"
"Sale a due morti il bilancio per l'alluvione a #Senigallia Ci sarebbe anche un disperso.","6","2","1","88","16","1","1"
"Alcune foto dei danni causati dal #terremoto fanno impressione. #sapevatelo","3","4","0","75","10","2","1"
"Terremoto in Abruzzo: 92 morti accertati, 100 mila sfollati e 1.500 feriti","5","1","0","74","13","0","1"
"Bomba d'acqua sulle Marche, due morti a #Senigallia.Tralasciamo la partita,  solidarietà a tutti gli abitanti. http://t.co/WXOV3UlexB","8","3","0","134","21","1","1"
"#terremoto crolla un capannone nel ferrarese....una vittima...","4","1","0","62","8","1","1"
"Alluvione nelle #Marche, un morto: situazione critica a #Senigallia http://t.co/QgMKZAO9Wz","7","2","0","90","13","2","1"
"#Terremoto : ho appena letto. Quant'orrore, quanta morte in questi giorni!","3","2","1","74","11","1","1"
"#Terremoto - trovato sotto macerie corpo operaio disperso a Sant'Agostino","4","3","0","73","10","1","1"
"Pare esserci un quarto morto in un'abitazione #terremoto","2","3","0","56","9","1","1"
"Anna, Annozero e Villa Sant'Angelo: morti e paesi dimenticati del terremoto in Abruzzo http://tinyurl.com/daczr9","8","2","0","112","18","0","1"
"danni per il #terremoto ad una torre del castello di Ferrara","5","1","0","60","11","1","1"
"Terremoto in Emilia Romagna 3 morti a Ferrara, uno a Bologna - Quotidiano Net:","7","1","1","78","13","0","1"
"Una vittima accertata in via Canevari a #Genova. #alluvione2014 #allertameteoLG","6","3","0","79","10","3","1"
"#terremoto un disperso tra gli operai di Bondeno (fonte: rainews)","5","1","0","65","10","1","1"
"Due forti scosse di terremoto pochi minuti fa a L'Aquila- Italy.Dagli edifici gia' danneggiati si sono staccati calcinacci. Ulteriore panico","8","3","1","140","22","0","1"
"Con la nuova scossa, a Finale Emilia è crollata anche la scuola elementare","4","1","0","75","12","0","1"
"Trovato morto l'operaio di bondeno #terremoto","2","3","0","45","7","1","1"
"Terremoto in Emilia Romagna stiamo vicini a queste 4 famiglie più 1 disperso &lt;3 :(","6","2","0","86","15","0","1"
"Terremoto a L'Aquila: decine le vittime e migliaia gli sfollati: Ore 20.58 - Si continua a scavare tra le macerie alla... http://is.gd/r14V","8","3","1","139","26","0","1"
"Terremoto Abruzzo - carabinieri, 20 vittime: E' salito a 20 il bilancio delle vittime del terremoto che ha colpi.. http://tinyurl.com/dlljmh","9","3","1","140","22","0","1"
"Oddio ho appena visto in diretta il crollo di una casa! D:#Terremoto","3","2","0","68","13","0","1"
"#terremoto: danni a castello s.felice #Panaro","4","3","0","45","7","2","1"
"4 morti in emilia e torna la paura #terremoto","3","2","0","45","9","1","1"
"ci sono anche loro...#alluvionegenova mentre lo scemo (di genova) e i suoi adepti forse vanno martedì...deficenti.. http://t.co/b0ZyIOY9Fx","3","5","3","139","22","0","1"
"“danni a Ferrara” e come al solito fraintendo. Ah, l'ottimismo… #terremoto #ciccione","4","3","0","90","13","2","1"
"nel #terremoto a crollare i vecchi edifici e ...i capannoni industriali....","3","2","0","75","11","1","1"
"Reading: Terremoto in Abruzzo: oltre 150 morti I feriti sono 1.500, 100 mila gli sfollati  Corriere della Sera ( http://tinyurl.com/d9pef5 )","9","2","0","140","23","0","1"
"Ene. Ora i morti sono 6 #terremoto","1","3","0","34","7","1","1"
"Terremoto in Abruzzo, morte e distruzione: oltre 150 vittime: Migliaia feriti-sfollati,soccorsi all'opera.Polemi.. http://tinyurl.com/cpt46t","10","2","0","140","20","0","1"
"@alessandro_g  #terremoto Gratsi","2","1","0","32","3","1","1"
"Non ho parole..ogni volta ci deve essere un morto prima di parlare di allerta meteo.. #AlluvioneGenova","6","4","1","102","17","1","1"
"Un morto a Bondeno #terremoto","2","1","0","29","5","1","1"
"Casa Camonchia i danni da #terremoto #bologna http://t.co/6ufJDOUI","4","2","0","66","11","2","1"
"RT @ItaliaNEWS: #italy La nuova scossa ha causato un'altra vittima ed il crollo definitivo della Basilica dell'Aquila","5","3","0","117","19","1","1"
"abruzzopedia Terremoto: 92 morti, 50mila sfollati. Il sindaco dell'Aquila: 'Via dal centro storico':.. http://tinyurl.com/dkz7xn","7","1","0","128","18","0","1"
"legge sul terremoto: polemiche, morti, richieste di aiuto e sangue. La cosa grave è che sono crollati edifici nuovi, gli pare d'aver capito","8","5","1","140","23","0","1"
"forte scossa di terremoto in abruzzo..fino ad ora il bilancio è di 20 morti.","5","1","0","77","14","0","1"
"Rainews24 e Sky confermano: morto l'operaio di Bondeno #terremoto :(","4","4","0","68","10","1","1"
"è crollato il campanile di tutti i paesi limitrofi compreso il mio #terremoto","2","3","1","78","12","1","1"
"4 morti e oltre 50 feriti! #terremoto","2","1","0","37","7","1","1"
"Un abbraccio a tutte le famiglie dei morti durante il terremoto in Emilia Romagna","6","0","0","81","14","0","1"
"Terremoto, il Nord Italia trema Tre morti in Emilia Romagna http://t.co/BpysgHkD","6","1","0","80","14","0","1"
"Terremoto in Abruzzo: 179 mortie 34 dispersi.","4","0","0","45","7","0","1"
"Terremoto in Abruzzo: il numero dei morti sale a 92 e ci sono ancora molti dispersi! Chi vuole dare anche un min.. http://tinyurl.com/dxgrz7","6","4","2","140","26","0","1"
"Terremoto: 179 morti e 34 dispersi: E' di 179 morti, di cui 40 da identificare, il nuovo bilancio delle vittime .. http://tinyurl.com/c3bdx2","7","1","1","140","24","0","1"
"Sisma Abruzzo;Il dolore di Onna, paese al suolo: 38 morti e oltre: Vigili del fuoco di Roma al lavoro nel centro.. http://tinyurl.com/cv8tn2","11","2","0","140","26","0","1"
"#terremoto in #emilia. Tre operai morti mentre lavoravano di notte in fabbrica","4","3","0","78","12","2","1"
"Accidenti che scossa, purtroppo ci sono tre morti e danni.","3","2","2","58","10","0","1"
"Dopo il #terremoto anche le piogge.. poveretti, che grande danno!","4","1","1","65","10","1","1"
"#terremoto sky informa: un disperso alla ceramica crollata..","1","4","0","60","8","1","1"
"6 morti e 50 feriti per il terremoto ...","3","0","0","40","8","0","1"
"Terremoto - 10.000 sfollati trasferiti in alberghi costa abruzzese http://tinyurl.com/dzfrez","4","1","0","92","13","0","1"
"A #Carpi solo calcinacci e qualche crepa. Meno male ! #terremoto","3","1","0","64","10","2","1"
"Terremoto: 3 morti accertati nel Ferrarese (fonte Skytg24)","6","1","0","58","8","0","1"
"++ SISMA EMILIA: ANCORA UNA FORTE SCOSSA, ALTRI CROLLI ++","7","0","0","57","8","0","1"
"Bilancio di 6 morti, oltre 50 feriti e 1 disperso. #terremoto","3","2","0","61","11","1","1"
"Terremoto: Berlusconi, 1500 feriti http://tinyurl.com/dng44l","3","1","0","60","8","0","1"
"Non ho capito, a quanti morti siamo? 6? #terremoto","1","3","0","50","9","1","1"
"Terremoto L'Aquila Prime Immagini: Terremoto L&#39;Aquila Prime Immagini Primo filmato dei danni tratto da Rai.. http://ping.fm/uLjrt","13","1","0","133","22","0","1"
"Sant'Olcese, problemi alle tubature, ordinanza sindaco:'Fate bollire acqua, prima di utilizzarla'. #AlluvioneGenova","6","3","0","115","14","1","1"
"Poi magari,dopo la partita,pure un occhio a #Senigallia con morti e dispersi per maltempo buttiamolo va! #FiorentinaNapoli #poveraitalia","8","3","0","136","20","3","1"
"RT@10dannj10: Ancora da #Finale #Emilia http://t.co/ut9E2xR8” #terremoto #foto","5","3","0","80","12","4","1"
"[TERREMOTO] [ L'Aquila ] [Abruzzo] : Che riposino in Pace: elenco provvisorio dei 287 morti al 09/04/2009.http://www.regione.abruzzo.it","6","1","1","135","22","0","1"
"Una preghiera per tutte le vittime ed i feriti del #Terremoto in #Emilia","6","1","0","72","13","2","1"
"Terremoto è crollata là torre del cartello a Poggio","3","2","0","53","8","0","1"
"ma come fanno a crollare certi capannoni? #terremoto","1","3","0","52","8","1","1"
"TERREMOTO :  Ci sono morti e feriti . L' intensita del sisma è stata di 6 gradi","5","3","1","80","14","0","1"
"Ha tracimato il Torbella, acqua ai primi piani. Polcevera lì lì per. #allertameteoLIG #AlluvioneGenova","6","3","0","104","14","2","1"
"Un pensiero agli operai morti stanotte a causa del terremoto....","4","2","0","64","10","0","1"
"@catepol: si si! solo una crepa al primo piano... re: http://ff.im/1Wwqe","5","0","2","72","14","0","1"
"Domani sul Tg farà più notizia la partita che i morti delle marche. Vergogne italiane. #allertameteoMAR","6","2","0","105","16","1","1"
"#terremoto è crollato parzialmente il municipio","1","2","0","48","5","1","1"
"Moltissime macchine allagate, anche qua sotto. Cassonetti andati chissà dove. Zona Gavette, of course #AlluvioneGenova","6","2","0","119","15","1","1"
"@hero27 Oggi mi domando come un dormitorio per studenti possa crollare all'Aquila, dopo un terremoto. E uccidere delle persone.","4","3","1","127","20","0","1"
"Confermata la morte dell'anziano disperso nella piena del fiume Misa a Borgo Bicchia di #Senigallia. #alluvione","7","3","0","111","17","2","1"
"Ecco i ragazzi che mi piacciono ..insieme a spalare via il fango dalla loro città #Genoa #Sampdoria #AlluvioneGenova http://t.co/FGXq1LqTZQ","7","5","2","140","22","3","1"
"quattro morti e almeno cinquanta feriti. dio mio, aiutali tu. #terremoto","3","1","1","72","11","1","1"
"Ed. Starordinaria:: Rassegna stampa :: Terremoto in Abruzzo: decine di morti, paesi distrutti: Terremoto in Abr.. http://tinyurl.com/de7ev2","11","1","0","139","19","0","1"
"Terremoto: Berlusconi Torna Sul Luogo Del Disastro. 207 i Morti (Punto) http://www.cronaca24.org/Politica/terremoto-berlusconi-torna-sul ...","9","1","0","140","20","0","1"
"Terremoto: 245 Morti, 16 Non Riconosciuti http://tinyurl.com/dlx4zh","3","1","0","67","10","0","1"
"Terremoto: Vigili Fuoco, All'Aquila 50% Delle Case Non Agibili: ASCA - Roma, 6 apr - Il 50% delle case della cit.. http://tinyurl.com/cs2omp","10","2","0","140","24","0","1"
"Diretta #senigallia aggiornamento danni pioggia e vento costanti. Davanti al porto meno danni ma black out telef ed elettr #allertameteoMAR","9","3","1","139","20","2","1"
"#finaleemilia #terremoto castello crollata la torre più alta http://t.co/ReFXlKHG","2","4","0","82","12","2","1"
"3 morti a #ferrara x il #terremoto! C rendiamo conto????????","5","2","0","60","10","2","1"
"6 morti per il terremoto :'(","2","0","0","28","5","0","1"
"Terremoto Abruzzo - trovate morte due studentesse http://www.cronaca24.org/Cronaca/terremoto-abruzzo---trovate-morte-due-studentesse/","4","0","0","133","17","0","1"
"#terremoto, crolla campanile a Ferrara. Restano in piedi tutte le altre ipotesi.","4","1","0","80","12","1","1"
"#terremoto #Ferrara città danni a monumenti, chiese e abitazioni","5","3","0","65","9","2","1"
"Per tutti Italiani:  Terremoto tra il Lazio e l'AbruzzoCrollati edifici all'Aquila, forse vittime.","4","0","0","98","15","0","1"
"SKY TG24: UN MORTO PER IL CROLLO DI UN CAPANNONE NEL FERRARESE #terremoto","8","2","0","73","13","1","1"
"Terremoto. Il letto a ponte è crollato su di me. Ora tutti fuori casa. Ho paura.","5","2","2","81","15","0","1"
"Ufficiali le tre vittime, tutte nel ferrarese, tutte in crolli di fabbriche #terremoto","6","1","2","86","13","1","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ Berlusconi: i morti sono di tutta la nazione: «Voglio ringraziar.. http://tinyurl.com/d8tqnm","8","2","0","127","18","0","1"
"I morti sono 3Spero sia finita qui#terremoto #Ferrara","2","3","0","53","9","1","1"
"terremoto: bertolaso, i morti sono piu’ di 70 http://ff.im/-1X1VQ","3","2","0","67","12","0","1"
"Crollato campanile camurana Medolla #Modena #terremoto","2","3","0","54","6","2","1"
"Azz  ansa dice danni a persone #terremoto","2","3","0","41","7","1","1"
"moglia (mn) i danni alla chiesa #terremoto http://t.co/hktFgjza","4","1","0","63","11","1","1"
"morti del #terremoto: 92 accertati! CAZZO!","2","2","0","42","6","1","1"
"adesso sono 3 morti per il terremoto in romagna","3","1","0","47","9","0","1"
"Solo una sottile crepa lunga 30 centimetri sopra la porta #terremoto #sassuolo","2","4","0","78","12","2","1"
"Ieri una bomba 1 morto , oggi terremoto 7 morti ,  e domani ?","3","1","0","61","11","0","1"
"Terremoto/Quake. A L'Aquila 15.000 utenze senza elettricità","5","0","0","60","10","0","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ Storie da sotto le macerie: una donna grida 'aiuto, chi mi sente.. http://tinyurl.com/ctbojz","8","3","2","126","20","0","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ Il sisma modifica la portata di due fiumi. Coldiretti: danni per.. http://tinyurl.com/d4mw6c","9","2","0","126","19","0","1"
"Terremoto Abruzzo: dietro il crollo dell'ospedale l'ombra di Impregilo http://www.ecostiera.it/","6","0","0","95","15","0","1"
"ULTIM'ORA: esondato il torrente #torbella tra #rivarolo e #certosa a #genova. #AlluvioneGenova","5","3","0","94","13","5","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ 25.000 sfollati, 228 morti, si continua a scavare: Il bilancio d.. http://tinyurl.com/dxs75k","8","2","1","126","20","0","1"
"#terremoto crollate chiese e danni case e altro a San felice, e Finale e Bassa","5","2","1","78","15","1","1"
"Il terremoto annunciato - http://lucarinaldi.blogspot.com/2009/04/violento-sisma-allaquila-150-morti-e-le.html (via @addthis)","3","2","0","125","19","0","1"
"Finale Emilia pare sia la più colpita dai danni. #terremoto","3","5","0","60","10","1","1"
"!terremoto Rettifico errata corrige: 179 morti e 34 dispersi e 1500 feriti nel #terremoto dell' #aquila","5","1","0","103","16","2","1"
"#terremoto edifici crollati l'aquila viohttp://www.repubblica.it/2009/04/dirette/sezioni/cronaca/terremoto-nord/terremoto-centro/index.html","7","3","0","139","20","1","1"
"#terremoto Ma come e' possibile che crollino I capannoni di recente costruzione","2","2","0","79","12","1","1"
"Genova colpita ancora dal maltempo, una vittima.Solidarietà al popolo genovese!#Genova #Lega #AlluvioneGenova http://t.co/RLaFUBAS5l","7","3","0","133","18","2","1"
"#Terremoto  CROLLA TORRE FINALE, VIGILE DEL FUOCO E' GRAVE.","8","1","0","59","9","1","1"
"Sarebbe stato recuperato il corpo di una persona a Borgo Incrociati. #genova #AlluvioneGenova #tristezza","6","2","0","104","14","3","1"
"#Senigallia, pare siano due i morti di quest'ennesima fottuta #alluvione italiana :(","4","4","0","84","12","2","1"
"#terremoto #Emilia una forte scossa ha distrutto molti edifici,causando 4morti","3","4","0","78","11","2","1"
"Ultim'ora, Terremoto, fonti soccorritori: 92 morti accertati.","4","1","0","61","8","0","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ Il punto alle 10.45: bilancio ufficioso ancora a 27 vittime. Dif.. http://tinyurl.com/cua9d7","8","1","0","126","20","0","1"
"Terremoto: Berlusconi, Oltre Mille Feriti, 100 In Condizioni Difficili http://www.cronaca24.org/Politica/terremoto-berlusconi-oltre-mill ...","5","1","0","140","18","0","1"
"persone sommerse, dispersi, morti, RAGAZZI INTRAPPOLATI NELLE SCUOLE, aiutateci, mandate i soccorsi. #Senigallia","10","3","0","112","13","1","1"
"Ci potrebbe essere un disperso o una vittima nel ferrarese #terremoto via Rainews24","2","2","1","83","13","1","1"
"Su Rai News dicono di fabbriche crollate a Bondeno (MO). #terremoto #terremotoBO","6","3","0","80","12","2","1"
"#terremoto Crollano i tetti delle fabbriche, non quelli dei vecchi casolari.","4","1","1","76","11","1","1"
"speriamo il #terremoto non faccia altri danni...e non ci svegli anche stanotte...","3","4","1","81","13","1","1"
"Danni nel Modenese e in provincia di Ferrara #terremoto","5","1","0","55","9","1","1"
"(Mi dicono case crollate a Bondeno) #terremoto","2","3","1","46","7","1","1"
"cazzo un altra scossa siamo tutti per strada si sono crepati i muri!","4","2","2","68","13","0","1"
"Google crea una pagina con tutte le notizie sul terremoto!: Con un bilancio di morti altissimo, con un numero d.. http://tinyurl.com/dz7kmp","8","1","0","139","24","0","1"
"#Renzi che si vede la partita quando ci sono morti a #Senigallia.Vergognati ebetino","3","6","2","83","14","2","1"
"Terremoto in Abruzzo, 260 morti, venerdì funerali di Stato: Sale a 260 il bilancio dei morti provocati dal terre.. http://tinyurl.com/dy2q4r","11","1","0","141","23","0","1"
"Ok direi che il terremoto di prima ha fatto danni","2","2","1","49","10","0","1"
"[ITALIAN NEWS] TERREMOTO ABRUZZO/ Onna: terminate le ricerche, bilancio finale 40 morti: Un contra.. http://tinyurl.com/c9xkwx","9","2","0","126","18","0","1"
"#terremoto: crolli nei dintorni di #Ferrara secondo rainews. conferme?","7","1","0","70","9","2","1"
"#Maltempo, danni a #Jesi e #Senigallia. I carabinieri salvano dalle acque un anziano... http://t.co/ECZtl8Brsk","6","4","0","110","17","3","1"
"Terremoto: dispersa studentessa foggiana: Fonte: La Gazzetta del MezzogiornoBARI - Nel caos del terremoto che ha.. http://tinyurl.com/dlzqt6","8","1","1","140","19","0","1"
"5 morti per un terremoto di merda. Sto paese mi sta sempre più sul cazzo.","5","2","1","74","15","0","1"
"RIP Melissa e tutte le persone morte nel terremoto.. :(","5","0","0","55","9","0","1"
"Terremoto, i precedenti: nel 1915, 30 mila morti nella Marsica http://tinyurl.com/cv8yn6","5","0","0","88","14","0","1"
"[ITALIAN NEWS] TERREMOTO/ Sale a 20 il numero delle vittime in Abruzzo, scuole chiuse in Molise. E.. http://tinyurl.com/c2vhtm","9","1","0","126","21","0","1"
"Giornata di silenzio in onore delle vittime del terremoto in abruzzo. Solidarietà per i loro parenti, i feriti e gli sfollati senza casa.","11","0","0","138","23","0","1"
"Terremoto a Ferrara,5.9 4 morti,50 feriti","2","1","0","41","9","0","1"
"#AlluvioneGenova stesso film da 60 anni, torrenti sporchi burocrazia incuria http://t.co/4GkdqMyA2m http://t.co/Ot0bVKhnQk","7","1","0","122","18","1","1"
"Terremoto Abruzzo: alla casa dello studente altri 4 mortihttp://voloblu.blogspot.com/2009/04/terremoto-abruzzo-alla-casa-dello.html","8","1","0","131","20","0","1"
"Si parla di campanili crollati a pochi km da qua! #terremoto #terremotoBO","2","4","1","73","12","2","1"
"E' vicino alla gente dell'Abbruzzo che in questo momento sta soffrendo i danni del terremoto.","4","1","0","93","16","0","1"
"A #goro è crollato un pezzo di argine... #terremoto","2","3","0","52","8","2","1"
"Terremoto nel ferrarese!  La morte della povera melissa!","3","0","0","56","8","0","1"
"Terremoto: Studente Greco Estratto Morto Da Macerie a l'Aquila http://www.cronaca24.org/Cronaca/terremoto-studente-greco-estratto-morto- ...","10","3","0","140","20","0","1"
"#TERREMOTO #Ferrara piccoli danni http://t.co/g64MDyvQ","3","2","0","54","8","2","1"
"Zona industriale s.felice un sacco di danni :-(  #terremoto","4","1","0","59","9","1","1"
"TERREMOTO: 150 MORTI E 1.500 FERITI.IN ABRUZZO SARA' UNA NOTTE ... - ASCA: Fonte: Agenzia Stampa Quotidiana Nazi.. http://tinyurl.com/cmn7ls","11","0","0","140","22","0","1"
"Terremoto! Tre morti nel ferrarese.","3","0","0","35","5","0","1"
"#terremoto, danni si registrano anche a #Ferrara","3","2","1","48","7","2","1"
"Danni alle case ad Ostia dopo il terremoto http://tinyurl.com/cx5wua","5","0","0","68","12","0","1"
"3.000 sfollati, 50 feriti, 5 morti (7 sul Corriere, ovviamente). #terremoto","4","1","0","75","12","1","1"
"Un nuovo articolo su Isernino.com, 'Terremoto: tre morti molisani' - http://tinyurl.com/cfkkas","4","0","0","94","14","0","1"
"Salgono a due le vittime a #Senigallia di #Anncona trovato morto il disperso.  http://t.co/hehEpyJsBo #maltempo #direttameteo","4","4","0","125","19","4","1"
